Model,Precision,Recall,F-Measure,Accuracy
BtLAdaBoost,0.494444276883,0.102298816358,0.169523468612,0.84981025755
BtLAdaBoost-pca,0.0,0.0,0.0,0.0
BtLAdaBoost-pcaW,0.0,0.0,0.0,0.0
BtLAdaBoost-scale,0.494444276883,0.102298816358,0.169523468612,0.84981025755
BtLAdaBoost-scale-pca,0.32367138813,0.0770114684939,0.124419332086,0.837581532725
BtLAdaBoost-scale-pcaW,0.257062060479,0.104597666163,0.148692349512,0.820530212194
BtLAdaBoost-down,0.299038945943,0.828352213352,0.43928278674,0.683660353121
BtLAdaBoost-down-pca,0.279870548827,0.597700551038,0.381230855628,0.709265567
BtLAdaBoost-down-pcaW,0.273000660962,0.593677863398,0.373851512581,0.701945911514
BtLAdaBoost-scale-down,0.29674366474,0.860152968999,0.441233606693,0.673498455027
BtLAdaBoost-scale-down-pca,0.275168665123,0.649425070135,0.386509532641,0.690836834826
BtLAdaBoost-scale-down-pcaW,0.277285997306,0.700766049131,0.395775305286,0.681421290829
WtKLDA,0.239177077094,0.805584011921,0.368844220805,0.623924181925
WtKLDA-pca,0.238751068185,0.806618137739,0.368445438585,0.622795673344
WtKLDA-pcaW,0.239484108001,0.806618137739,0.369317705496,0.62420630907
WtKLDA-scale,0.235435356886,0.810754641009,0.364905277597,0.615037176847
WtKLDA-scale-pca,0.239410601523,0.806618137739,0.369230292996,0.624065245498
WtKLDA-scale-pcaW,0.239410601523,0.806618137739,0.369230292996,0.624065245498
WtKLDA-down,0.245968746243,0.876249276125,0.383935885367,0.616635897337
WtKLDA-down-pca,0.257464236022,0.917786510168,0.402120175839,0.627732793765
WtKLDA-down-pcaW,0.248415541806,0.859875474033,0.385468239014,0.626040031175
WtKLDA-scale-down,0.2487501379,0.865563309343,0.38640808926,0.62524077527
WtKLDA-scale-down-pca,0.245930333255,0.842812541355,0.380695362694,0.626416305042
WtKLDA-scale-down-pcaW,0.242843858697,0.826266528274,0.375358684876,0.624911626934
WtKQDA,0.229575931669,0.688727794531,0.344363522444,0.642262446372
WtKQDA-pca,0.230610057487,0.691830171984,0.345914711171,0.643108827808
WtKQDA-pcaW,0.229417767058,0.688727794531,0.344185556735,0.641980319227
WtKQDA-scale,0.229575931669,0.688727794531,0.344363522444,0.642262446372
WtKQDA-scale-pca,0.231719799097,0.698034926889,0.347937653946,0.643108827808
WtKQDA-scale-pcaW,0.229920640275,0.689761920348,0.344880585353,0.642544573518
WtKQDA-down,0.229178063241,0.752498886617,0.351344463556,0.620914825708
WtKQDA-down-pca,0.226663713062,0.768355354428,0.350056930497,0.610734636091
WtKQDA-down-pcaW,0.229775742183,0.742847045653,0.350899061638,0.624864605743
WtKQDA-scale-down,0.228815410132,0.755256555464,0.351217365556,0.6194101476
WtKQDA-scale-down-pca,0.224950744292,0.756290681282,0.346742630133,0.611228460385
WtKQDA-scale-down-pcaW,0.238674069011,0.778352032057,0.365310243079,0.630930339368
WtKLogReg,0.25321741873,0.813857018462,0.386257177792,0.647199671416
WtKLogReg-pca,0.252008916237,0.810754641009,0.384501716814,0.645930099262
WtKLogReg-pcaW,0.241210857018,0.766287230852,0.36692201889,0.639300111346
WtKLogReg-scale,0.243305703942,0.761116601764,0.368736984739,0.644519463535
WtKLogReg-scale-pca,0.243305703942,0.761116601764,0.368736984739,0.644519463535
WtKLogReg-scale-pcaW,0.242177233407,0.768355482487,0.368277083871,0.640428619928
WtKLogReg-down,0.246093710893,0.792485084898,0.375526476631,0.640522662309
